cd_cid ;cid - descricao;cd_subgrupo;subgrupo_descricao;cid_grupo;cid_capitulo
E03.0; Hipotireoidismo Congênito Com Bócio Difuso ;E03; Outros Hipotireoidismos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E03.1; Hipotireoidismo Congênito Sem Bócio ;E03; Outros Hipotireoidismos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E03.2; Hipotireoidismo Devido a Medicamentos e Outras Substâncias Exógenas ;E03; Outros Hipotireoidismos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E03.3; Hipotireoidismo Pós infeccioso;E03; Outros Hipotireoidismos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E03.4; Atrofia (adquirida) da Tireóide ;E03; Outros Hipotireoidismos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E03.5; Coma Mixedematoso ;E03; Outros Hipotireoidismos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E03.8; Outros Hipotireoidismos Especificados ;E03; Outros Hipotireoidismos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E03.9; Hipotireoidismo Não Especificado ;E03; Outros Hipotireoidismos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E04.0; Bócio Não tóxico Difuso;E04; Outros Bócios Não tóxicos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E04.1; Bócio Não tóxico Uninodular;E04; Outros Bócios Não tóxicos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E04.2; Bócio Não tóxico Multinodular;E04; Outros Bócios Não tóxicos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E04.8; Outro Bócio Não tóxico Especificado;E04; Outros Bócios Não tóxicos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E04.9; Bócio Não tóxico, Não Especificado;E04; Outros Bócios Não tóxicos ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E05.0; Tireotoxicose Com Bócio Difuso ;E05; Tireotoxicose (hipertireoidismo) ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E05.1; Tireotoxicose Com Bócio Tóxico Uninodular ;E05; Tireotoxicose (hipertireoidismo) ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E05.2; Tireotoxicose Com Bócio Tóxico Multinodular ;E05; Tireotoxicose (hipertireoidismo) ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E05.3; Tireotoxicose Causada Por Tecido Tireoidiano Ectópico ;E05; Tireotoxicose (hipertireoidismo) ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E05.4; Tireotoxicose Factícia ;E05; Tireotoxicose (hipertireoidismo) ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E05.5;" ""Crise ou """"tempestade"""" Tireotóxica"" ";E05; Tireotoxicose (hipertireoidismo) ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E05.8; Outras Tireotoxicoses ;E05; Tireotoxicose (hipertireoidismo) ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E05.9; Tireotoxicose Não Especificada ;E05; Tireotoxicose (hipertireoidismo) ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E06.0; Tireoidite Aguda ;E06; Tireoidite ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E06.1; Tireoidite Subaguda ;E06; Tireoidite ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E06.2; Tireoidite Crônica Com Tireotoxicose Transitória ;E06; Tireoidite ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E06.3; Tireoidite Auto imune;E06; Tireoidite ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E06.4; Tireoidite Induzida Por Droga ;E06; Tireoidite ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E06.5; Outras Tireoidites Crônicas ;E06; Tireoidite ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E06.9; Tireoidite Não Especificada ;E06; Tireoidite ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E07.0; Hipersecreção de Calcitonina ;E07; Outros Transtornos da Tireóide ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E07.1; Bócio Disormonogênico ;E07; Outros Transtornos da Tireóide ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E07.8; Outros Transtornos Especificados da Tireóide ;E07; Outros Transtornos da Tireóide ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E07.9; Transtorno Não Especificado da Tireóide ;E07; Outros Transtornos da Tireóide ;Transtornos da glândula tireóide;IV. Doenças endócrinas nutricionais e metabólicas
E10.0; Diabetes Mellitus Insulino dependente ;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.1; Diabetes Mellitus Insulino dependente   Com Cetoacidose;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.2; Diabetes Mellitus Insulino dependente   Com Complicações Renais;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.3; Diabetes Mellitus Insulino dependente  Com Complicações Oftálmicas;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.4; Diabetes Mellitus Insulino dependente  Com Complicações Neurológicas;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.5; Diabetes Mellitus Insulino dependente  Com Complicações Circulatórias Periféricas;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.6; Diabetes Mellitus Insulino dependente  Com Outras Complicações Especificadas;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.7; Diabetes Mellitus Insulino dependente  Com Complicações Múltiplas;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.8; Diabetes Mellitus Insulino dependente  Com Complicações Não Especificadas;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E10.9; Diabetes Mellitus Insulino dependente  Sem Complicações;E10; Diabetes Mellitus Insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.0; Diabetes Mellitus Não insulinodependente  Com Coma;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.1; Diabetes Mellitus Não insulinodependente  Com Cetoacidose;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.2; Diabetes Mellitus Não insulinodependente  Com Complicações Renais;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.3; Diabetes Mellitus Não insulinodependente  Com Complicações Oftálmicas;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.4; Diabetes Mellitus Não insulinodependente  Com Complicações Neurológicas;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.5; Diabetes Mellitus Não insulinodependente  Com Complicações Circulatórias Periféricas;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.6; Diabetes Mellitus Não insulinodependente  Com Outras Complicações Especificadas;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.7; Diabetes Mellitus Não insulinodependente  Com Complicações Múltiplas;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.8; Diabetes Mellitus Não insulinodependente  Com Complicações Não Especificadas;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E11.9; Diabetes Mellitus Não insulinodependente  Sem Complicações;E11; Diabetes Mellitus Não insulino dependente ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.0; Diabetes Mellitus Relacionado Com a Desnutrição   Com Coma;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.1; Diabetes Mellitus Relacionado Com a Desnutrição   Com Cetoacidose;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.2; Diabetes Mellitus Relacionado Com a Desnutrição   Com Complicações Renais;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.3; Diabetes Mellitus Relacionado Com a Desnutrição   Com Complicações Oftálmicas;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.4; Diabetes Mellitus Relacionado Com a Desnutrição   Com Complicações Neurológicas;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.5; Diabetes Mellitus Relacionado Com a Desnutrição   Com Complicações Circulatórias Periféricas;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.6; Diabetes Mellitus Relacionado Com a Desnutrição   Com Outras Complicações Especificadas;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.7; Diabetes Mellitus Relacionado Com a Desnutrição   Com Complicações Múltiplas;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.8; Diabetes Mellitus Relacionado Com a Desnutrição   Com Complicações Não Especificadas;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E12.9; Diabetes Mellitus Relacionado Com a Desnutrição   Sem Complicações;E12; Diabetes Mellitus Relacionado Com a Desnutrição ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.0; Outros Tipos Especificados de Diabetes Mellitus   Com Coma;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.1; Outros Tipos Especificados de Diabetes Mellitus   Com Cetoacidose;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.2; Outros Tipos Especificados de Diabetes Mellitus   Com Complicações Renais;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.3; Outros Tipos Especificados de Diabetes Mellitus   Com Complicações Oftálmicas;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.4; Outros Tipos Especificados de Diabetes Mellitus   Com Complicações Neurológicas;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.5; Outros Tipos Especificados de Diabetes Mellitus   Com Complicações Circulatórias Periféricas;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.6; Outros Tipos Especificados de Diabetes Mellitus   Com Outras Complicações Especificadas;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.7; Outros Tipos Especificados de Diabetes Mellitus   Com Complicações Múltiplas;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.8; Outros Tipos Especificados de Diabetes Mellitus   Com Complicações Não Especificadas;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E13.9; Outros Tipos Especificados de Diabetes Mellitus   Sem Complicações;E13; Outros Tipos Especificados de Diabetes Mellitus ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.0; Diabetes Mellitus Não Especificado   Com Coma;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.1; Diabetes Mellitus Não Especificado   Com Cetoacidose;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.2; Diabetes Mellitus Não Especificado   Com Complicações Renais;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.3; Diabetes Mellitus Não Especificado   Com Complicações Oftálmicas;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.4; Diabetes Mellitus Não Especificado   Com Complicações Neurológicas;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.5; Diabetes Mellitus Não Especificado   Com Complicações Circulatórias Periféricas;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.6; Diabetes Mellitus Não Especificado   Com Outras Complicações Especificadas;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.7; Diabetes Mellitus Não Especificado   Com Complicações Múltiplas;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.8; Diabetes Mellitus Não Especificado   Com Complicações Não Especificadas;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E14.9; Diabetes Mellitus Não Especificado   Sem Complicações;E14; Diabetes Mellitus Não Especificado ;Diabetes mellitus;IV. Doenças endócrinas nutricionais e metabólicas
E16.0; Hipoglicemia Induzida Por Droga Sem Coma ;E16; Outros Transtornos da Secreção Pancreática Interna ;Outr transt regulação glicose e secr pancreát int;IV. Doenças endócrinas nutricionais e metabólicas
E16.1; Outra Hipoglicemia ;E16; Outros Transtornos da Secreção Pancreática Interna ;Outr transt regulação glicose e secr pancreát int;IV. Doenças endócrinas nutricionais e metabólicas
E16.2; Hipoglicemia Não Especificada ;E16; Outros Transtornos da Secreção Pancreática Interna ;Outr transt regulação glicose e secr pancreát int;IV. Doenças endócrinas nutricionais e metabólicas
E16.3; Aumento da Secreção de Glucagon ;E16; Outros Transtornos da Secreção Pancreática Interna ;Outr transt regulação glicose e secr pancreát int;IV. Doenças endócrinas nutricionais e metabólicas
E16.4; Secreção Anormal de Gastrina ;E16; Outros Transtornos da Secreção Pancreática Interna ;Outr transt regulação glicose e secr pancreát int;IV. Doenças endócrinas nutricionais e metabólicas
E16.8; Outros Transtornos Especificados da Secreção Pancreática Interna ;E16; Outros Transtornos da Secreção Pancreática Interna ;Outr transt regulação glicose e secr pancreát int;IV. Doenças endócrinas nutricionais e metabólicas
E16.9; Transtorno Não Especificado da Secreção Pancreática Interna ;E16; Outros Transtornos da Secreção Pancreática Interna ;Outr transt regulação glicose e secr pancreát int;IV. Doenças endócrinas nutricionais e metabólicas
E20.0; Hipoparatireoidismo Idiopático ;E20; Hipoparatireoidismo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E20.1; Pseudohipoparatireoidismo ;E20; Hipoparatireoidismo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E20.8; Outro Hipoparatireoidismo ;E20; Hipoparatireoidismo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E20.9; Hipoparatireoidismo Não Especificado ;E20; Hipoparatireoidismo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E21.0; Hiperparatireoidismo Primário ;E21; Hiperparatireoidismo e Outros Transtornos da Glândula Paratireóide ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E21.1; Hiperparatireoidismo Secundário Não Classificado em Outra Parte ;E21; Hiperparatireoidismo e Outros Transtornos da Glândula Paratireóide ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E21.2; Outro Hiperparatireoidismo ;E21; Hiperparatireoidismo e Outros Transtornos da Glândula Paratireóide ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E21.3; Hiperparatireoidismo Não Especificado ;E21; Hiperparatireoidismo e Outros Transtornos da Glândula Paratireóide ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E21.4; Outros Transtornos Especificados da Glândula Paratireóide ;E21; Hiperparatireoidismo e Outros Transtornos da Glândula Paratireóide ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E21.5; Transtorno Não Especificado da Glândula Paratireóide ;E21; Hiperparatireoidismo e Outros Transtornos da Glândula Paratireóide ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E22.0; Acromegalia e Gigantismo Hipofisário ;E22; Hiperfunção da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E22.1; Hiperprolactinemia ;E22; Hiperfunção da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E22.2; Síndrome da Secreção Inadequada de Hormônio Antidiurético ;E22; Hiperfunção da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E22.8; Outras Hiperfunções da Hipófise ;E22; Hiperfunção da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E22.9; Hiperfunção Não Especificada da Hipófise ;E22; Hiperfunção da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E23.0; Hipopituitarismo ;E23; Hipofunção e Outros Transtornos da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E23.1; Hipopituitarismo Induzido Por Droga ;E23; Hipofunção e Outros Transtornos da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E23.2; Diabetes Insípido ;E23; Hipofunção e Outros Transtornos da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E23.3; Disfunção Hipotalâmica Não Classificada em Outra Parte ;E23; Hipofunção e Outros Transtornos da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E23.6; Outros Transtornos da Hipófise ;E23; Hipofunção e Outros Transtornos da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E23.7; Transtorno Não Especificado da Hipófise ;E23; Hipofunção e Outros Transtornos da Hipófise ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E24.0; Síndrome de Cushing Dependente da Hipófise ;E24; Síndrome de Cushing ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E24.1; Síndrome de Nelson ;E24; Síndrome de Cushing ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E24.2; Síndrome de Cushing Induzida Por Droga ;E24; Síndrome de Cushing ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E24.3; Síndrome do ACTH Ectópico ;E24; Síndrome de Cushing ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E24.4; Síndrome de Pseudo Cushing Induzida Pelo Álcool;E24; Síndrome de Cushing ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E24.8; Outra Síndrome de Cushing ;E24; Síndrome de Cushing ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E24.9; Síndrome de Cushing Não Especificada ;E24; Síndrome de Cushing ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E25.0; Transtornos Adrenogenitais Congênitos Associados à Deficiência Enzimática ;E25; Transtornos Adrenogenitais ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E25.8; Outros Transtornos Adrenogenitais ;E25; Transtornos Adrenogenitais ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E25.9; Transtorno Adrenogenital Não Especificado ;E25; Transtornos Adrenogenitais ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E26.0; Hiperaldosteronismo Primário ;E26; Hiperaldosteronismo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E26.1; Hiperaldosteronismo Secundário ;E26; Hiperaldosteronismo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E26.8; Outro Hiperaldosteronismo ;E26; Hiperaldosteronismo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E26.9; Hiperaldosteronismo Não Especificado ;E26; Hiperaldosteronismo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E27.0; Outros Excessos de Atividade Adrenocortical ;E27; Outros Transtornos da Glândula Supra renal ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E27.1; Insuficiência Adrenocortical Primária ;E27; Outros Transtornos da Glândula Supra renal ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E27.2; Crise Addisoniana ;E27; Outros Transtornos da Glândula Supra renal ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E27.3; Insuficiência Adrenocortical Induzida Por Drogas ;E27; Outros Transtornos da Glândula Supra renal ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E27.4; Outras Insuficiências Adrenocorticais e as Não Especificadas ;E27; Outros Transtornos da Glândula Supra renal ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E27.5; Hiperfunção Adrenomedular ;E27; Outros Transtornos da Glândula Supra renal ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E27.8; Outros Transtornos Especificados da Supra renal;E27; Outros Transtornos da Glândula Supra renal ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E27.9; Transtorno Não Especificado da Supra renal;E27; Outros Transtornos da Glândula Supra renal ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E28.0; Excesso de Estrógeno ;E28; Disfunção Ovariana ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E28.1; Excesso de Andrógenos ;E28; Disfunção Ovariana ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E28.2; Síndrome do Ovário Policístico ;E28; Disfunção Ovariana ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E28.3; Insuficiência Ovariana Primária ;E28; Disfunção Ovariana ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E28.8; Outra Disfunção Ovariana ;E28; Disfunção Ovariana ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E28.9; Disfunção Ovariana Não Especificada ;E28; Disfunção Ovariana ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E29.0; Hiperfunção Testicular ;E29; Disfunção Testicular ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E29.1; Hipofunção Testicular ;E29; Disfunção Testicular ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E29.8; Outra Disfunção Testicular ;E29; Disfunção Testicular ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E29.9; Disfunção Testicular Não Especificada ;E29; Disfunção Testicular ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E30.0; Puberdade Retardada ;E30; Transtornos da Puberdade Não Classificados em Outra Parte ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E30.1; Puberdade Precoce ;E30; Transtornos da Puberdade Não Classificados em Outra Parte ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E30.8; Outros Transtornos da Puberdade ;E30; Transtornos da Puberdade Não Classificados em Outra Parte ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E30.9; Transtorno Não Especificado da Puberdade ;E30; Transtornos da Puberdade Não Classificados em Outra Parte ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E31.0; Insuficiência Poliglandular Auto imune;E31; Disfunção Poliglandular ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E31.1; Hiperfunção Poliglandular ;E31; Disfunção Poliglandular ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E31.8; Outra Disfunção Poliglandular ;E31; Disfunção Poliglandular ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E31.9; Disfunção Poliglandular Não Especificada ;E31; Disfunção Poliglandular ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E32.0; Hiperplasia Persistente do Timo ;E32; Doenças do Timo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E32.1; Abscesso do Timo ;E32; Doenças do Timo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E32.8; Outras Doenças do Timo ;E32; Doenças do Timo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E32.9; Doença do Timo Não Especificada ;E32; Doenças do Timo ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E34.0; Síndrome Carcinóide ;E34; Outros Transtornos Endócrinos ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E34.1; Outra Hipersecreção de Hormônios Intestinais ;E34; Outros Transtornos Endócrinos ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E34.2; Secreção Hormonal Ectópica, Não Classificada em Outra Parte ;E34; Outros Transtornos Endócrinos ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
E34.3; Nanismo, Não Classificado em Outra Parte ;E34; Outros Transtornos Endócrinos ;Transtornos de outras glândulas endócrinas;IV. Doenças endócrinas nutricionais e metabólicas
